Epoch: 0 Step 0 	Learning rate: 0.100000
Epoch: [0][590/125353]	Time: 0.524 (0.526)	Epoch time [hr]: 0.086 (18.321)	Memory: 10.816 (14.959)	Loss: 3.1683 (6.6528)	Prec@1: 17.786 (14.485)	Prec@5: 47.522 (38.151)
Epoch: 0 Step 600 	Learning rate: 0.100000
Epoch: [0][600/125353]	Time: 0.522 (0.526)	Epoch time [hr]: 0.088 (18.319)	Memory: 10.816 (14.959)	Loss: 3.1224 (6.5944)	Prec@1: 17.944 (14.544)	Prec@5: 47.498 (38.300)
Epoch: [0][610/125353]	Time: 0.522 (0.526)	Epoch time [hr]: 0.089 (18.318)	Memory: 10.816 (14.959)	Loss: 3.1774 (6.5383)	Prec@1: 17.639 (14.595)	Prec@5: 46.057 (38.441)
Epoch: [0][620/125353]	Time: 0.524 (0.526)	Epoch time [hr]: 0.091 (18.316)	Memory: 10.816 (14.959)	Loss: 3.1617 (6.4840)	Prec@1: 17.896 (14.652)	Prec@5: 46.204 (38.585)
Epoch: [0][630/125353]	Time: 0.525 (0.526)	Epoch time [hr]: 0.092 (18.315)	Memory: 10.816 (14.959)	Loss: 3.2072 (6.4311)	Prec@1: 17.761 (14.703)	Prec@5: 45.996 (38.730)
Epoch: [0][640/125353]	Time: 0.524 (0.526)	Epoch time [hr]: 0.094 (18.313)	Memory: 10.816 (14.959)	Loss: 3.0955 (6.3797)	Prec@1: 18.762 (14.757)	Prec@5: 49.622 (38.873)
Epoch: [0][650/125353]	Time: 0.522 (0.526)	Epoch time [hr]: 0.095 (18.312)	Memory: 10.816 (14.959)	Loss: 3.2196 (6.3300)	Prec@1: 17.224 (14.807)	Prec@5: 46.240 (38.996)
Epoch: [0][660/125353]	Time: 0.524 (0.526)	Epoch time [hr]: 0.097 (18.311)	Memory: 10.816 (14.959)	Loss: 3.1373 (6.2817)	Prec@1: 18.274 (14.853)	Prec@5: 47.314 (39.128)
Epoch: [0][670/125353]	Time: 0.523 (0.526)	Epoch time [hr]: 0.098 (18.309)	Memory: 10.816 (14.959)	Loss: 3.1074 (6.2348)	Prec@1: 18.091 (14.898)	Prec@5: 46.509 (39.252)
Epoch: [0][680/125353]	Time: 0.523 (0.526)	Epoch time [hr]: 0.099 (18.308)	Memory: 10.816 (14.959)	Loss: 3.1474 (6.1895)	Prec@1: 17.700 (14.941)	Prec@5: 47.363 (39.377)
Epoch: [0][690/125353]	Time: 0.524 (0.526)	Epoch time [hr]: 0.101 (18.307)	Memory: 10.816 (14.959)	Loss: 3.1612 (6.1454)	Prec@1: 17.627 (14.983)	Prec@5: 47.363 (39.490)
Epoch: 0 Step 700 	Learning rate: 0.100000
Epoch: [0][700/125353]	Time: 0.523 (0.526)	Epoch time [hr]: 0.102 (18.306)	Memory: 10.816 (14.959)	Loss: 3.1298 (6.1028)	Prec@1: 17.920 (15.018)	Prec@5: 47.400 (39.612)
Epoch: [0][710/125353]	Time: 0.523 (0.526)	Epoch time [hr]: 0.104 (18.305)	Memory: 10.816 (14.959)	Loss: 3.1208 (6.0610)	Prec@1: 17.834 (15.058)	Prec@5: 49.292 (39.732)
Epoch: [0][720/125353]	Time: 0.523 (0.526)	Epoch time [hr]: 0.105 (18.304)	Memory: 10.816 (14.959)	Loss: 3.0899 (6.0203)	Prec@1: 18.750 (15.099)	Prec@5: 50.977 (39.850)
Epoch: [0][730/125353]	Time: 0.523 (0.526)	Epoch time [hr]: 0.107 (18.303)	Memory: 10.816 (14.959)	Loss: 3.0879 (5.9806)	Prec@1: 18.347 (15.139)	Prec@5: 50.256 (39.960)
Epoch: [0][740/125353]	Time: 0.525 (0.526)	Epoch time [hr]: 0.108 (18.302)	Memory: 10.816 (14.959)	Loss: 3.1393 (5.9423)	Prec@1: 17.615 (15.174)	Prec@5: 47.839 (40.060)
Epoch: [0][750/125353]	Time: 0.523 (0.526)	Epoch time [hr]: 0.110 (18.301)	Memory: 10.816 (14.959)	Loss: 3.0791 (5.9045)	Prec@1: 18.457 (15.213)	Prec@5: 49.475 (40.182)
Epoch: [0][760/125353]	Time: 0.522 (0.526)	Epoch time [hr]: 0.111 (18.300)	Memory: 10.816 (14.959)	Loss: 3.1037 (5.8679)	Prec@1: 18.079 (15.250)	Prec@5: 49.194 (40.292)
Epoch: [0][770/125353]	Time: 0.523 (0.526)	Epoch time [hr]: 0.113 (18.299)	Memory: 10.816 (14.959)	Loss: 3.0667 (5.8319)	Prec@1: 18.140 (15.287)	Prec@5: 49.084 (40.405)
Epoch: [0][780/125353]	Time: 0.525 (0.525)	Epoch time [hr]: 0.114 (18.298)	Memory: 10.816 (14.959)	Loss: 3.0694 (5.7969)	Prec@1: 18.811 (15.325)	Prec@5: 50.085 (40.513)
Epoch: [0][790/125353]	Time: 0.524 (0.525)	Epoch time [hr]: 0.115 (18.297)	Memory: 10.816 (14.959)	Loss: 3.0930 (5.7631)	Prec@1: 18.860 (15.359)	Prec@5: 48.657 (40.618)
Epoch: 0 Step 800 	Learning rate: 0.100000
Epoch: [0][800/125353]	Time: 0.524 (0.525)	Epoch time [hr]: 0.117 (18.296)	Memory: 10.816 (14.959)	Loss: 3.0789 (5.7300)	Prec@1: 17.480 (15.389)	Prec@5: 52.124 (40.724)
Epoch: [0][810/125353]	Time: 0.524 (0.525)	Epoch time [hr]: 0.118 (18.296)	Memory: 10.816 (14.959)	Loss: 3.0796 (5.6975)	Prec@1: 20.056 (15.432)	Prec@5: 51.074 (40.838)
Epoch: [0][820/125353]	Time: 0.525 (0.525)	Epoch time [hr]: 0.120 (18.295)	Memory: 10.816 (14.959)	Loss: 3.1220 (5.6657)	Prec@1: 19.727 (15.479)	Prec@5: 48.267 (40.947)
Epoch: [0][830/125353]	Time: 0.523 (0.525)	Epoch time [hr]: 0.121 (18.294)	Memory: 10.816 (14.959)	Loss: 3.0757 (5.6346)	Prec@1: 18.604 (15.522)	Prec@5: 49.500 (41.059)
Epoch: [0][840/125353]	Time: 0.522 (0.525)	Epoch time [hr]: 0.123 (18.293)	Memory: 10.816 (14.959)	Loss: 3.0521 (5.6041)	Prec@1: 18.433 (15.560)	Prec@5: 47.913 (41.167)
Epoch: [0][850/125353]	Time: 0.523 (0.525)	Epoch time [hr]: 0.124 (18.293)	Memory: 10.816 (14.959)	Loss: 3.0340 (5.5743)	Prec@1: 20.325 (15.606)	Prec@5: 51.770 (41.278)
Epoch: [0][860/125353]	Time: 0.522 (0.525)	Epoch time [hr]: 0.126 (18.292)	Memory: 10.816 (14.959)	Loss: 3.0616 (5.5450)	Prec@1: 19.177 (15.650)	Prec@5: 48.779 (41.387)
Epoch: [0][870/125353]	Time: 0.523 (0.525)	Epoch time [hr]: 0.127 (18.291)	Memory: 10.816 (14.959)	Loss: 3.0782 (5.5163)	Prec@1: 19.495 (15.692)	Prec@5: 51.477 (41.496)
