Epoch: 0 Step 0 	Learning rate: 0.100000
Epoch: [0][680/62676]	Time: 1.079 (1.080)	Epoch time [hr]: 0.204 (18.797)	Memory: 19.662 (28.519)	Loss: 2.7210 (4.5310)	Prec@1: 23.566 (19.543)	Prec@5: 60.248 (52.057)
Epoch: [0][690/62676]	Time: 1.074 (1.080)	Epoch time [hr]: 0.207 (18.798)	Memory: 19.662 (28.519)	Loss: 2.7267 (4.5049)	Prec@1: 23.566 (19.602)	Prec@5: 60.944 (52.175)
Epoch: 0 Step 700 	Learning rate: 0.100000
Epoch: [0][700/62676]	Time: 1.077 (1.080)	Epoch time [hr]: 0.210 (18.797)	Memory: 19.662 (28.519)	Loss: 2.7099 (4.4798)	Prec@1: 24.481 (19.651)	Prec@5: 61.035 (52.282)
Epoch: [0][710/62676]	Time: 1.102 (1.080)	Epoch time [hr]: 0.213 (18.797)	Memory: 19.662 (28.519)	Loss: 2.7310 (4.4550)	Prec@1: 23.566 (19.708)	Prec@5: 60.468 (52.394)
Epoch: [0][720/62676]	Time: 1.077 (1.080)	Epoch time [hr]: 0.216 (18.797)	Memory: 19.662 (28.519)	Loss: 2.7012 (4.4308)	Prec@1: 23.700 (19.766)	Prec@5: 61.316 (52.509)
Epoch: [0][730/62676]	Time: 1.079 (1.080)	Epoch time [hr]: 0.219 (18.797)	Memory: 19.662 (28.519)	Loss: 2.7167 (4.4075)	Prec@1: 23.511 (19.813)	Prec@5: 59.497 (52.608)
Epoch: [0][740/62676]	Time: 1.078 (1.080)	Epoch time [hr]: 0.222 (18.797)	Memory: 19.662 (28.519)	Loss: 2.6961 (4.3847)	Prec@1: 23.956 (19.865)	Prec@5: 60.236 (52.714)
Epoch: [0][750/62676]	Time: 1.075 (1.080)	Epoch time [hr]: 0.225 (18.796)	Memory: 19.662 (28.519)	Loss: 2.7089 (4.3623)	Prec@1: 23.962 (19.918)	Prec@5: 60.315 (52.817)
Epoch: [0][760/62676]	Time: 1.081 (1.080)	Epoch time [hr]: 0.228 (18.797)	Memory: 19.662 (28.519)	Loss: 2.6988 (4.3407)	Prec@1: 23.309 (19.960)	Prec@5: 60.345 (52.911)
Epoch: [0][770/62676]	Time: 1.080 (1.080)	Epoch time [hr]: 0.231 (18.797)	Memory: 19.662 (28.519)	Loss: 2.6986 (4.3196)	Prec@1: 23.792 (20.006)	Prec@5: 61.359 (53.009)
