Epoch: 0 Step 0 	Learning rate: 0.100000
Epoch: [0][880/125353]	Time: 0.539 (0.543)	Epoch time [hr]: 0.133 (18.901)	Memory: 11.469 (16.607)	Loss: 3.4333 (8.7004)	Prec@1: 14.343 (11.211)	Prec@5: 47.156 (35.320)
Epoch: [0][890/125353]	Time: 0.539 (0.543)	Epoch time [hr]: 0.134 (18.900)	Memory: 11.469 (16.607)	Loss: 3.1642 (8.6398)	Prec@1: 15.137 (11.259)	Prec@5: 49.670 (35.436)
Epoch: 0 Step 900 	Learning rate: 0.100000
Epoch: [0][900/125353]	Time: 0.540 (0.543)	Epoch time [hr]: 0.136 (18.899)	Memory: 11.469 (16.607)	Loss: 3.1477 (8.5796)	Prec@1: 16.846 (11.323)	Prec@5: 48.889 (35.572)
Epoch: [0][910/125353]	Time: 0.541 (0.543)	Epoch time [hr]: 0.137 (18.898)	Memory: 11.469 (16.607)	Loss: 3.3356 (8.5216)	Prec@1: 15.698 (11.373)	Prec@5: 43.713 (35.687)
Epoch: [0][920/125353]	Time: 0.540 (0.543)	Epoch time [hr]: 0.139 (18.897)	Memory: 11.469 (16.607)	Loss: 3.2045 (8.4641)	Prec@1: 17.078 (11.428)	Prec@5: 47.278 (35.811)
Epoch: [0][930/125353]	Time: 0.539 (0.543)	Epoch time [hr]: 0.140 (18.897)	Memory: 11.469 (16.607)	Loss: 3.1291 (8.4073)	Prec@1: 16.626 (11.490)	Prec@5: 48.755 (35.948)
Epoch: [0][940/125353]	Time: 0.540 (0.543)	Epoch time [hr]: 0.142 (18.895)	Memory: 11.469 (16.607)	Loss: 3.2266 (8.3523)	Prec@1: 15.918 (11.540)	Prec@5: 46.814 (36.065)
Epoch: [0][950/125353]	Time: 0.539 (0.543)	Epoch time [hr]: 0.143 (18.894)	Memory: 11.469 (16.607)	Loss: 3.1198 (8.2974)	Prec@1: 18.579 (11.609)	Prec@5: 49.255 (36.199)
Epoch: [0][960/125353]	Time: 0.540 (0.543)	Epoch time [hr]: 0.145 (18.894)	Memory: 11.469 (16.607)	Loss: 3.2237 (8.2438)	Prec@1: 16.797 (11.668)	Prec@5: 47.424 (36.332)
Epoch: [0][970/125353]	Time: 0.541 (0.543)	Epoch time [hr]: 0.146 (18.893)	Memory: 11.469 (16.607)	Loss: 3.0448 (8.1909)	Prec@1: 18.933 (11.727)	Prec@5: 51.379 (36.473)
Epoch: [0][980/125353]	Time: 0.539 (0.543)	Epoch time [hr]: 0.148 (18.892)	Memory: 11.469 (16.607)	Loss: 3.1840 (8.1396)	Prec@1: 15.869 (11.784)	Prec@5: 45.190 (36.590)
Epoch: [0][990/125353]	Time: 0.539 (0.543)	Epoch time [hr]: 0.149 (18.891)	Memory: 11.469 (16.607)	Loss: 52.7892 (8.2076)	Prec@1: 2.344 (11.749)	Prec@5: 11.707 (36.511)
Epoch: 0 Step 1000 	Learning rate: 0.100000
Epoch: [0][1000/125353]	Time: 0.540 (0.543)	Epoch time [hr]: 0.151 (18.891)	Memory: 11.469 (16.607)	Loss: 11.0345 (8.3897)	Prec@1: 3.674 (11.679)	Prec@5: 15.649 (36.356)
Epoch: [0][1010/125353]	Time: 0.540 (0.543)	Epoch time [hr]: 0.152 (18.890)	Memory: 11.469 (16.607)	Loss: 9.3751 (8.4194)	Prec@1: 13.269 (11.629)	Prec@5: 29.211 (36.217)
Epoch: [0][1020/125353]	Time: 0.539 (0.542)	Epoch time [hr]: 0.154 (18.889)	Memory: 11.469 (16.607)	Loss: 8.5962 (8.4164)	Prec@1: 10.645 (11.580)	Prec@5: 26.501 (36.096)
Epoch: [0][1030/125353]	Time: 0.541 (0.542)	Epoch time [hr]: 0.155 (18.888)	Memory: 11.469 (16.607)	Loss: 33.4144 (8.4392)	Prec@1: 8.240 (11.531)	Prec@5: 25.085 (36.016)
Epoch: [0][1040/125353]	Time: 0.540 (0.542)	Epoch time [hr]: 0.157 (18.888)	Memory: 11.469 (16.607)	Loss: 6.9209 (8.4840)	Prec@1: 1.672 (11.473)	Prec@5: 24.622 (35.881)
Epoch: [0][1050/125353]	Time: 0.540 (0.542)	Epoch time [hr]: 0.158 (18.887)	Memory: 11.469 (16.607)	Loss: 5.5496 (8.4785)	Prec@1: 8.679 (11.434)	Prec@5: 34.949 (35.792)
Epoch: [0][1060/125353]	Time: 0.539 (0.542)	Epoch time [hr]: 0.160 (18.886)	Memory: 11.469 (16.607)	Loss: 4.4487 (8.4475)	Prec@1: 7.385 (11.405)	Prec@5: 40.369 (35.779)
Epoch: [0][1070/125353]	Time: 0.539 (0.542)	Epoch time [hr]: 0.161 (18.886)	Memory: 11.469 (16.607)	Loss: 4.1947 (8.4159)	Prec@1: 10.962 (11.394)	Prec@5: 38.513 (35.783)
Epoch: [0][1080/125353]	Time: 0.540 (0.542)	Epoch time [hr]: 0.163 (18.885)	Memory: 11.469 (16.607)	Loss: 3.6275 (8.3760)	Prec@1: 17.468 (11.397)	Prec@5: 44.836 (35.809)
Epoch: [0][1090/125353]	Time: 0.540 (0.542)	Epoch time [hr]: 0.164 (18.884)	Memory: 11.469 (16.607)	Loss: 3.2466 (8.3328)	Prec@1: 19.165 (11.431)	Prec@5: 48.499 (35.865)
Epoch: 0 Step 1100 	Learning rate: 0.100000
Epoch: [0][1100/125353]	Time: 0.540 (0.542)	Epoch time [hr]: 0.166 (18.883)	Memory: 11.469 (16.607)	Loss: 3.5627 (8.2884)	Prec@1: 13.232 (11.469)	Prec@5: 42.725 (35.937)
Epoch: [0][1110/125353]	Time: 0.540 (0.542)	Epoch time [hr]: 0.167 (18.882)	Memory: 11.469 (16.607)	Loss: 3.2601 (8.2453)	Prec@1: 14.465 (11.492)	Prec@5: 47.998 (35.994)
Epoch: [0][1120/125353]	Time: 0.540 (0.542)	Epoch time [hr]: 0.169 (18.881)	Memory: 11.469 (16.607)	Loss: 3.2179 (8.2008)	Prec@1: 17.151 (11.541)	Prec@5: 47.119 (36.088)
Epoch: [0][1130/125353]	Time: 0.540 (0.542)	Epoch time [hr]: 0.170 (18.881)	Memory: 11.469 (16.607)	Loss: 14.1946 (8.1989)	Prec@1: 1.892 (11.510)	Prec@5: 16.638 (36.032)
Epoch: [0][1140/125353]	Time: 0.540 (0.542)	Epoch time [hr]: 0.172 (18.880)	Memory: 11.469 (16.607)	Loss: 5.3362 (8.1968)	Prec@1: 8.203 (11.477)	Prec@5: 20.850 (35.943)
Epoch: [0][1150/125353]	Time: 0.540 (0.542)	Epoch time [hr]: 0.173 (18.879)	Memory: 11.469 (16.607)	Loss: 3.6711 (8.1650)	Prec@1: 13.147 (11.466)	Prec@5: 41.931 (35.931)
Epoch: [0][1160/125353]	Time: 0.539 (0.542)	Epoch time [hr]: 0.175 (18.878)	Memory: 11.469 (16.607)	Loss: 3.5421 (8.1277)	Prec@1: 11.536 (11.469)	Prec@5: 42.639 (35.960)
Epoch: [0][1170/125353]	Time: 0.540 (0.542)	Epoch time [hr]: 0.176 (18.878)	Memory: 11.469 (16.607)	Loss: 3.5459 (8.0884)	Prec@1: 14.478 (11.483)	Prec@5: 42.273 (36.008)
